step,kinetic,potential,total
3440,31.4415,-23.6655,7.77598
3460,30.6406,-22.8629,7.77771
3480,35.797,-28.0752,7.7218
3500,35.509,-27.7789,7.73006
3520,35.1263,-27.3518,7.77458
3540,34.2343,-26.506,7.72825
3560,31.3868,-23.5783,7.80858
3580,30.765,-22.8953,7.86966
3600,31.8741,-23.9193,7.95472
3620,30.3442,-22.4214,7.92281
3640,30.5352,-22.5628,7.97236
3660,30.6711,-22.6812,7.98991
3680,30.9598,-22.9681,7.99168
3700,30.4544,-22.4965,7.95793
3720,31.4971,-23.5459,7.95116
3740,32.4607,-24.4898,7.97086
3760,33.2844,-25.3923,7.89208
3780,33.1139,-25.2218,7.89202
3800,33.2106,-25.3559,7.85477
3820,33.6146,-25.7904,7.8242
3840,30.4519,-22.5671,7.88481
3860,35.6489,-27.7641,7.88475
3880,33.542,-25.717,7.82492
3900,30.8436,-22.9666,7.87702
3920,32.7767,-24.915,7.86174
3940,34.9781,-27.1338,7.84435
3960,32.032,-24.2376,7.79435
3980,33.2538,-25.4594,7.79445
